213.180.203.2 - - [06/Dec/2020:05:59:55 +0300] "GET / HTTP/1.1" 302 682 "-" "Mozilla/5.0 (compatible; YandexMetrika/2.0; +http://yandex.com/bots yabs01)"
141.8.142.90 - - [06/Dec/2020:05:59:56 +0300] "GET / HTTP/1.1" 200 36 "-" "Mozilla/5.0 (compatible; YandexMetrika/2.0; +http://yandex.com/bots yabs01)"
185.87.196.23 - - [06/Dec/2020:06:00:49 +0300] "POST /wp-cron.php?doing_wp_cron=1607223649.3977079391479492187500 HTTP/1.1" 200 - "https://weblampa.ru/wp-cron.php?doing_wp_cron=1607223649.3977079391479492187500" "WordPress/5.4.2; https://weblampa.ru"
13.66.139.75 - - [06/Dec/2020:06:00:49 +0300] "GET /nix/as-is.html/feed HTTP/1.1" 403 1102 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
13.66.139.75 - - [06/Dec/2020:06:00:50 +0300] "GET /nix/as-is.html/feed HTTP/1.0" 403 1082 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.64.160 - - [06/Dec/2020:06:05:55 +0300] "GET /robots.txt HTTP/1.1" 200 180 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
185.87.196.23 - - [06/Dec/2020:06:05:56 +0300] "POST /wp-cron.php?doing_wp_cron=1607223956.3020710945129394531250 HTTP/1.1" 200 - "https://weblampa.ru/wp-cron.php?doing_wp_cron=1607223956.3020710945129394531250" "WordPress/5.4.2; https://weblampa.ru"
66.249.64.167 - - [06/Dec/2020:06:05:56 +0300] "GET /itil-itsm/insorsing-blizhayshee-budushhee-it-sluzh.html HTTP/1.1" 200 11124 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.167 - - [06/Dec/2020:06:06:02 +0300] "GET /favicon.ico HTTP/1.1" 404 1237 "-" "Googlebot-Image/1.0"
114.119.131.180 - - [06/Dec/2020:06:07:44 +0300] "GET /%D0%BE%D1%82%D0%B2%D0%BB%D0%B5%D1%87%D1%91%D0%BD%D0%BD%D0%BE%D0%B5/vnezapnyiy-byistryiy-razryad-akk-ra.html HTTP/1.1" 200 10258 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)"
168.119.51.159 - - [06/Dec/2020:06:13:58 +0300] "GET /topics/nix/freebsd/feed HTTP/1.1" 200 1829 "-" "Mozilla/5.0 (compatible; um-IC/1.0; mailto: techinfo@ubermetrics-technologies.com; Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
95.163.114.198 - - [06/Dec/2020:06:16:42 +0300] "GET / HTTP/1.1" 302 682 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36"
168.119.51.156 - - [06/Dec/2020:06:19:35 +0300] "GET /robots.txt HTTP/1.1" 200 206 "-" "Mozilla/5.0 (compatible; um-IC/1.0; mailto: techinfo@ubermetrics-technologies.com; Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
168.119.51.156 - - [06/Dec/2020:06:19:35 +0300] "GET /it-poleznyashki/izmenenie-mac-adresa-v-redaktore-reestra.html/feed HTTP/1.1" 200 1810 "-" "Mozilla/5.0 (compatible; um-IC/1.0; mailto: techinfo@ubermetrics-technologies.com; Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1"
185.87.196.23 - - [06/Dec/2020:06:20:51 +0300] "POST /wp-cron.php?doing_wp_cron=1607224850.9482960700988769531250 HTTP/1.1" 200 - "https://weblampa.ru/wp-cron.php?doing_wp_cron=1607224850.9482960700988769531250" "WordPress/5.4.2; https://weblampa.ru"
13.66.139.75 - - [06/Dec/2020:06:20:50 +0300] "GET /feed HTTP/1.1" 403 1102 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
13.66.139.75 - - [06/Dec/2020:06:20:52 +0300] "GET /feed HTTP/1.0" 403 1082 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
13.66.139.14 - - [06/Dec/2020:06:29:07 +0300] "GET /win/powershell-get-adcomputer-poluchenie-dannyih-o-kompyutera.html/feed HTTP/1.1" 403 1102 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
13.66.139.14 - - [06/Dec/2020:06:29:08 +0300] "GET /win/powershell-get-adcomputer-poluchenie-dannyih-o-kompyutera.html/feed HTTP/1.0" 403 1082 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
141.8.142.90 - - [06/Dec/2020:06:29:58 +0300] "GET / HTTP/1.1" 302 682 "-" "Mozilla/5.0 (compatible; YandexMetrika/2.0; +http://yandex.com/bots yabs01)"
213.180.203.184 - - [06/Dec/2020:06:29:58 +0300] "GET / HTTP/1.1" 200 36 "-" "Mozilla/5.0 (compatible; YandexMetrika/2.0; +http://yandex.com/bots yabs01)"
13.66.139.163 - - [06/Dec/2020:06:31:27 +0300] "GET /mikrotik/mikrotik-pravilnaya-blokirovka-resursov-po.html/feed HTTP/1.1" 403 1103 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
13.66.139.163 - - [06/Dec/2020:06:31:28 +0300] "GET /mikrotik/mikrotik-pravilnaya-blokirovka-resursov-po.html/feed HTTP/1.0" 403 1083 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
185.87.196.23 - - [06/Dec/2020:06:35:28 +0300] "POST /wp-cron.php?doing_wp_cron=1607225728.3493149280548095703125 HTTP/1.1" 200 - "https://weblampa.ru/wp-cron.php?doing_wp_cron=1607225728.3493149280548095703125" "WordPress/5.4.2; https://weblampa.ru"
13.66.139.14 - - [06/Dec/2020:06:35:28 +0300] "GET /it-poleznyashki/wikidevi.html/feed HTTP/1.1" 403 1102 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
13.66.139.14 - - [06/Dec/2020:06:35:29 +0300] "GET /it-poleznyashki/wikidevi.html/feed HTTP/1.0" 403 1082 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
13.66.139.163 - - [06/Dec/2020:06:39:07 +0300] "GET /i_use_it/signal.html/feed HTTP/1.1" 403 1103 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
13.66.139.163 - - [06/Dec/2020:06:39:08 +0300] "GET /i_use_it/signal.html/feed HTTP/1.0" 403 1083 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.64.167 - - [06/Dec/2020:06:47:09 +0300] "GET /it-poleznyashki/ssh-server-refused-our-key.html HTTP/1.1" 200 12100 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
13.66.139.14 - - [06/Dec/2020:06:50:09 +0300] "GET /topics/it-poleznyashki/feed HTTP/1.1" 403 1102 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
